occurred_on_date,case_count,D_A1,D_A15,D_A7,D_B2,D_B3,D_C11,D_C6,D_D14,D_D4,D_E13,D_E18,D_E5,D_External,day_1,day_2,day_3,day_4,day_5,day_6,day_7
735911,23,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
735911,18,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
735911,47,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
735911,13,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
735911,9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
735911,10,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
735912,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
735912,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
735912,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
735912,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
735912,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
735912,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
735912,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
735912,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
735912,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
735912,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
735912,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
735912,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
735913,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
735913,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
735913,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
735913,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
735913,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
735913,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
735913,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
735913,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
735913,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
735913,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
735913,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
735913,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
735914,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
735914,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
735914,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
735914,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
735914,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
735914,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
735914,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
735914,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
735914,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
735914,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
735914,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
735914,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
735915,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
735915,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
735915,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
735915,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
